,taxonomy,category,label
897,general,instrumentation,tuba
898,general,instrumentation,ukulele
899,general,instrumentation,upright_bass
900,general,instrumentation,vibes
901,general,instrumentation,vibraphone
902,general,instrumentation,violin
903,general,instrumentation,wah
904,general,instrumentation,wood_block
905,general,instrumentation,woodwinds
906,general,instrumentation,xylophone
907,general,vocals,a_cappella
908,general,vocals,auto_tune
909,general,vocals,background_vocals
910,general,vocals,beatbox
911,general,vocals,boys_choir
912,general,vocals,breath
913,general,vocals,chanting
914,general,vocals,children's_choir
915,general,vocals,choir
916,general,vocals,duet
917,general,vocals,falsetto
918,general,vocals,female_vocal
919,general,vocals,harmonies
920,general,vocals,humming
921,general,vocals,instrumental
922,general,vocals,lyrics
923,general,vocals,male_vocal
924,general,vocals,moaning
925,general,vocals,operatic
926,general,vocals,scat
927,general,vocals,screaming
928,general,vocals,shout
929,general,vocals,vocal_fx
930,general,vocals,vocoder
931,general,vocals,vox
932,general,vocals,whisper
933,general,vocals,whistle
934,general,vocals,yodeling
